Number
95.3
94.7
98.6
95.4
99
91.1
97.3
98.6
91.1
98.5
93.7
99.6
98.2
98
99.8
98
90.9
99.9
95.9
94.6
93.4
86.6
88
98.1
97.4
95.7
97.6
88.7
91.6
96.9
95
82.1
91.5
90.2
95.1
96
97.4
97.1
94.9
93.9
98.3
76.2
100
95.1
99.5
97.3
99.5
92.2
98.1
83
95.2
91.3
95.5
92
97.9
94.2
96
95.1
69.6
95
98
97.4
89.5
95.4
96.3
96
99.8
93.8
93.8
99
93.5
94.8
96.8
94.2
94.6
99.4
96.2
94.5
94.9
96.5
93.3
97.1
100
